;Name of Added Sugar;FDA;USDA;AHA;UCSF;HSPH;Popkin;other;Product Name;URL;PN check-2019-4-1;MonstersFamilyHistory1;Family Name History2;New Family Names;Description 
1;Agave Nectar;;;;http://dtc.ucsf.edu/pdfs/Sweeteners_04.30.10.pdf;;;ASR;Panera Bread Agave Lemonade;https://www.panerabread.com/en-us/menu-categories/drinks.html#agave-lemonade;checked;Other Monsters;Other Monsters;Strange Monsters;Agave nectar is produced from the agave plant, where juice is extracted from the core, filtered, and heated to break the complex components into simple sugars. This sugar is another name for agave syrup.
2;Agave Syrup;;;;X;X;;ASR;Starbucks Lemon Chiffon Yogurt;https://www.starbucks.com/menu/food/yogurt-and-fruit/lemon-chiffon-yogurt?foodZone=9999;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Agave syrup is produced from the agave plant, where juice is extracted from the core, filtered, and heated to break the complex components into simple sugars.
3;Anhydrous Dextrose;;https://www.nal.usda.gov/sites/default/files/fnic_uploads//265-338.pdf;;;;;ASR;Starbucks Chocolate Croissant;https://www.starbucks.com/menu/food/bakery/chocolate-croissant-lb;checked;OSE Monsters;OSE Monsters;OSE Monsters;Anhydrous dextrose is a simple carbohydrate that is a colorless, odorless white powder. This sugar can be found in fillings, custards, and chocolate.
4;Apple Juice Concentrate;;;;;;;ASR;Clif Bar Blueberry Crisp Energy Bar;https://shop.clifbar.com/CLIF-Bar-Blueberry-Crisp/p/CLIF-102607&c=ClifBar@ClifBar@Bars;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Apple juice concentrate is made by squeezing juice from the apple and removing a large percentage of the water, usually by heat. This sugar can be found in Blueberry Crisp bars.
5;Barley Malt;;;;X;;;ASR;Cascadian Farm Organic Sweet & Salty Peanut Pretzel Chewy Granola Bar;https://www.cascadianfarm.com/product/sweet-salty-peanut-pretzel-chewy-granola-bar/;checked;Other Monsters;Other Monsters;Strange Monsters;Barley malt is barley that has been allowed to germinate by soaking the grain in water, which prepares the starches to be converted into fermentable sugars. This sugar can be found in some chocolate chip granola bars.
6;Barley Malt Extract;;;;;;;ASR;Clif Bar Chocolate Chip Energy Bar;https://www.clifbar.com/products/clif/clif-bar/chocolate-chip;checked;Other Monsters;Other Monsters;Strange Monsters;Barley malt extract is barley that has been allowed to germinate by soaking the grain in water. Insoluble fiber is removed and the resulting sugary liquid is concentrated to make a liquid sweetener or powder. This sugar can be found in Clif chocolate chip bars.
7;Barley Malt Syrup;;;;X;;;ASR;Starbucks Fresh Blueberries And Honey Greek Yogurt Parfait Dessert;https://www.starbucks.com/menu/food/yogurt-and-fruit/fresh-blueberries-and-honey-greek-yogurt-parfait?foodZone=9999;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Barley malt syrup is an unrefined sweetener processed by extraction from malt or barley. This sugar can be found in some Fresh blueberry and honey greek yogurt parfaits.
8;Beet Juice Concentrate;;;;;;;ASR;Yoplait Original Cherry Orchard Yogurt;https://www.yoplait.com/product/regular-original-cherry-orchard;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Beet juice concentrate is made by squeezing juice from the beet and removing a large percentage of the water, usually by heat. This sugar can be found in Yoplait cherry orchard yogurt.
9;Beet Sugar;;;;X;;;ASR;Nutella Hazlenut Spread With Cocoa;https://www.nutella.com/en/us/nutella-sugar;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Beet sugar is formed by photosynthesis in the leaves and is then stored in the root. This sugar can be found in Nutella.
10;Beet Syrup;;;;;;;ASR;Clif Bar Builder's Chocolate Mint Protien Bar;https://www.clifbar.com/products/clif/builder-s/chocolate-mint;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Beet syrup is made from the juice of harvested beets, cooked and concentrated. This sugar can be found in some chocolate mint protein bars.
11;Black Currant Juice Concentrate;;;;;;;ASR;Yogurtland Black Currant Berry Tart Frozen Yogurt;https://www.yogurt-land.com/flavors/view/3805/black-currant-berry-tart;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Black currant juice concentrate is made by squeezing juice from black currants and removing a large percentage of the water, usually by heat. This sugar can be found in some blackberry acai bars.
12;Blackberry Juice Concentrate;;;;;;;ASR;Lindt Blackberry With Acai Excellence Bar Dark Chocolate;https://www.lindtusa.com/blackberry-with-acai-excellence-bar-e000486;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Blackberry juice concentrate is made by squeezing juice from the blackberry and removing a large percentage of the water, usually by heat. This sugar can be found in some yogurts.
13;Blackcurrant Juice Concentrate;;;;;;;;Nestlé Ceregrow Multigrain Cereal With Milk And Fruit;https://www.nestle.in/brands/mpn/ceregrow/ingredients;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Blackcurrant juice concentrate is made by squeezing juice from blackcurrants and removing a large percentage of the water, usually by heat. This sugar can be found in some baby cereals.
14;Blackstrap Molasses;;;;;;;ASR;Whole Foods Market Gluten-Free Molasses Ginger Cookies;https://www.wholefoodsmarket.com/gluten-free/ingredients-nutrition;checked;Other Monsters;Other Monsters;Strange Monsters;Blackstrap molasses is made by triple boiling and sugar extraction process. This sugar can be found in molasses ginger cookies.
15;Blood Orange Juice Concentrate;;;;;;;ASR;Noosa Yoghurt Blood Orange Yogurt;https://www.noosayoghurt.com/product/blood-orange/;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Blood orange juice concentrate is made by squeezing juice from the blood orange and removing a large percentage of the water, usually by heat. This sugar can be found in some blood orange yogurts.
16;Blueberry Juice Concentrate;;;;;;;ASR;Oakhurst Wild Blueberry Flavored Milk;https://www.oakhurstdairy.com/product/flavored-milk-products/wild-blueberry-milk/;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Blueberry juice concentrate is made by squeezing juice from the blueberry and removing a large percentage of the water, usually by heat. This sugar can be found in some wild blueberry milks.
17;Boysenberry Juice Concentrate;;;;;;;ASR;Edy's Sherbet Berry Rainbow Ice Cream;https://www.edys.com/products/edys-classics/berry-rainbow/edys-classics-sherbet/;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Boysenberry juice concentrate is made by squeezing juice from the boysenberry and removing a large percentage of the water, usually by heat. This sugar can be found in some berry flavored sherberts.
18;Brown Cane Sugar;;;;;;;ASR;Tate's Chocolate Chip Cookies;https://www.tatesbakeshop.com/Ingredients.pdf;checked;Cane Monsters;Cane Monsters;Cane Monsters;Brown cane sugar is extracted from the sugarcane plant and not refined or sometimes it is in the form of cane juice. This sugar can be found in some chocolate chip cookies.
