,EChO,FDA,USDA,AHA,UCSF,HSPH,Popkin,other,Product name,URL,note,checking,todo
1,Agave Nectar,,,,http://dtc.ucsf.edu/pdfs/Sweeteners_04.30.10.pdf,,,in ASR,Panera Agave Lemonade,https://www.panerabread.com/en-us/menu-categories/drinks.html#agave-lemonade,-,checked,
2,Agave Syrup,,,,X,X,,in ASR,Starbucks Lemon Chiffon Yogurt,https://www.starbucks.com/menu/food/yogurt-and-fruit/lemon-chiffon-yogurt?foodZone=9999,-,checked,
3,Anhydrous Dextrose,,https://www.nal.usda.gov/sites/default/files/fnic_uploads//265-338.pdf,,,,,in ASR,Starbucks Chocolate Croissant,https://www.starbucks.com/menu/food/bakery/chocolate-croissant-lb,-,checked,
4,Apple Juice Concentrate,,,,,,,in ASR,Clif Bar Blueberry Crisp,https://shop.clifbar.com/CLIF-Bar-Blueberry-Crisp/p/CLIF-102607&c=ClifBar@ClifBar@Bars,-,checked,
5,Barbados Molasses,,,,,,,in ASR,Alien Fresh Filet Mignon Jerky - Bbq On The Moon,https://www.alienfreshjerky.com/products/filet-mignon-jerky-bbq-on-the-moon-3-oz?variant=117061419009,-,checked,
6,Barley Malt,,,,X,,,in ASR,Sunbelt Bakery Chocolate Chip Granola Bar,https://www.sunbeltbakery.com/119,-,checked,
7,Barley Malt Extract,,,,,,,in ASR,Clif Bar Chocolate Chip,http://www.clifbar.com/products/clif/clif-bar,-,checked,
8,Barley Malt Syrup,,,,X,,,in ASR,Starbucks Fresh Blueberries And Honey Greek Yogurt Parfait,https://www.starbucks.com/menu/food/yogurt-and-fruit/fresh-blueberries-and-honey-greek-yogurt-parfait?foodZone=9999,-,checked,
9,Beet Juice Concentrate,,,,,,,in ASR,Yoplait Cherry Orchard,https://www.yoplait.com/product/regular-original-cherry-orchard,-,checked,
10,Beet Sugar,,,,X,,,in ASR,Nutella,https://www.nutella.com/en/us/nutella-sugar,-,checked,
11,Beet Syrup,,,,,,,in ASR,Clif Builder's Chocolate Mint,https://www.clifbar.com/products/clif/builder-s,-,checked,
12,Black Currant Juice Concentrate,,,,,,,in ASR,Yogurtland Black Currant Berry Tart Yogurt,https://www.yogurt-land.com/flavors/view/3805/black-currant-berry-tart,-,checked,
13,Blackcurrant Juice Concentrate,,,,,,,,,,found from perfact meeting,,new-2019-2-22
14,Blackberry Juice Concentrate,,,,,,,in ASR,Lindt Blackberry With Acai Excellence Bar,https://www.lindtusa.com/blackberry-with-acai-excellence-bar-e000486,-,checked,
15,Blackstrap Molasses,,,,,,,in ASR,Whole Foods Gluten-free Molasses Ginger Cookies,https://www.wholefoodsmarket.com/gluten-free/ingredients-nutrition,-,checked,?
16,Blood Orange Juice Concentrate,,,,,,,in ASR,Noosa Blood Orange Yogurt,https://www.noosayoghurt.com/product/blood-orange/,-,checked,
17,Blueberry Juice Concentrate,,,,,,,in ASR,Oakhurst Wild Blueberry Milk,https://www.oakhurstdairy.com/product/flavored-milk-products/wild-blueberry-milk/,-,checked,
